Year,tempc_mean,tempc_std,tempc_min,tempc_max,disasters_mean,disasters_std,disasters_min,disasters_max
1953,12.96,4.43,0.92,24.2,0.16,0.36,0.0,1.0
1958,11.6,4.32,1.5,23.51,0.13,0.33,0.0,1.0
1963,11.93,4.45,1.69,23.55,0.47,0.58,0.0,2.0
1968,11.63,4.31,0.17,23.25,0.02,0.16,0.0,1.0
1973,12.45,4.35,0.13,24.01,0.37,0.79,0.0,5.0
1978,11.38,4.72,1.11,23.9,0.1,0.31,0.0,2.0
1983,11.94,4.18,0.85,24.12,0.08,0.3,0.0,3.0
1988,12.2,4.23,1.02,24.08,0.16,0.41,0.0,2.0
1993,11.73,4.77,0.34,24.51,0.55,1.07,0.0,5.0
1998,13.63,4.43,1.62,25.19,3.43,9.14,0.0,34.0
2003,12.42,4.45,2.08,24.84,0.41,0.65,0.0,3.0
2008,12.17,4.76,0.72,24.59,0.66,0.91,0.0,6.0
2013,12.17,4.64,0.79,25.25,0.38,0.72,0.0,4.0
2018,12.84,4.74,1.89,25.28,0.3,0.6,0.0,5.0
