Year,tempc_mean,tempc_std,disasters_mean,disasters_std
1953.0,12.963638396850987,4.4344818515541835,0.15555555555555556,0.36249185320860766
1954.0,12.875922943877814,4.714894557310481,0.2064412238325282,0.40481603604886957
1955.0,12.216562294984191,4.776450307090661,0.27246376811594203,0.5946214175512542
1956.0,12.387679668396256,4.844427667366795,0.21674718196457327,0.577479288059053
1957.0,12.258497345977174,4.729274112825999,0.39838969404186797,0.5300845914762693
1958.0,11.596344009065414,4.320239893979217,0.12753623188405797,0.33362642127617737
1959.0,12.167277986521102,4.5727019739801475,0.19066022544283415,0.3928849918194754
1960.0,11.560050993022,4.471689591727212,0.28727858293075687,0.504409520058687
1961.0,11.8515804854774,4.34601603407134,0.36843800322061193,0.48245870914463723
1962.0,11.894408659867604,4.721959953058124,0.336231884057971,0.5661675718445321
1963.0,11.932839804377602,4.454632201826528,0.47085346215781,0.5787284537430292
1964.0,12.117619431025245,4.580880758942858,0.3455716586151369,0.5276508952306651
1965.0,12.01289735790539,4.866456409109799,0.23993558776167473,0.45345466131723866
1966.0,11.57726188346156,4.474339740409396,0.03768115942028986,0.19045464489358854
1967.0,11.771490129420915,4.642823298849541,0.05056360708534621,0.2191401261147409
1968.0,11.628526271843501,4.305150220670362,0.024798711755233495,0.1555362555884051
1969.0,11.619502594381823,4.558748248570497,0.15136876006441224,0.3836446398103189
1970.0,11.883349734597722,4.5742226576236265,0.05603864734299517,0.23828835202771845
1971.0,12.067783443669084,4.736211649047848,0.0644122383252818,0.28215707240821125
1972.0,11.691003160970958,4.94851295786295,0.15555555555555556,0.3815437083409541
1973.0,12.447602433351241,4.346582036376669,0.3687600644122383,0.7882778694315477
1974.0,12.218221804735482,4.623939241549441,0.15587761674718195,0.38519443539433157
1975.0,12.091029999403606,4.669844233938933,0.1259259259259259,0.35797386002292775
1976.0,11.591331186258696,4.278141826156959,0.3610305958132045,1.3338240387682079
1977.0,12.262611081290599,4.477658365701326,0.32463768115942027,0.5516975961173319
1978.0,11.384348720701379,4.723738918196187,0.10466988727858294,0.30931744707537046
1979.0,11.312903322001556,4.606358824736756,0.1967793880837359,0.49766458251357387
1980.0,12.12940001192818,4.545522053290663,0.08019323671497584,0.27633922036040814
1981.0,12.305874737495222,4.224418261499543,0.04639175257731959,0.2609630319368349
1982.0,11.86378451720637,4.911146145494844,0.05861513687600644,0.2363080814769515
1983.0,11.938170215303876,4.180741823603328,0.08115942028985507,0.2968627987655294
1984.0,12.153254905469069,4.588606842083389,0.13172302737520128,0.47186474840488957
1985.0,11.832280670364423,4.8847168239325525,0.20418679549114332,0.7256674788347471
1986.0,12.784693147253545,4.6193040878083425,0.12173913043478261,0.32997901404278496
1987.0,12.832289616508623,3.9902280111193065,0.14524959742351046,0.5206720328943014
1988.0,12.19790809327847,4.233156053307702,0.1636070853462158,0.40728213479223263
1989.0,11.780275243036943,4.642141677715643,0.12721417069243157,0.36904655757070826
1990.0,13.137631955627121,4.578389244967162,0.2003220611916264,0.41063491116048706
1991.0,12.931843800322083,4.466810850380648,0.1571658615136876,0.4137236067754157
1992.0,12.165256157929246,4.406475373817139,0.17391304347826086,0.5743909135421975
1993.0,11.72532355221567,4.773123740531008,0.5520128824476651,1.0715164607261898
1994.0,12.380592831156454,4.587295581042422,0.4351046698872786,0.8501011141689454
1995.0,12.277880658436265,4.590789368720631,0.19130434782608696,0.4441650691979795
1996.0,11.716929086896881,4.884148840897615,5.035426731078905,14.730549195258675
1997.0,12.007602731555998,4.517346057303628,0.3252818035426731,0.7447118938918291
1998.0,13.628976561102194,4.434408410969665,3.429951690821256,9.13605308704271
1999.0,13.156678296654125,4.41390719376519,0.38357487922705313,0.7370362247092619
2000.0,12.584068408182738,4.530940461101001,0.2647342995169082,0.5355855999345949
2001.0,12.917865449991098,4.281244609625133,0.2589371980676328,0.48422754830941944
2002.0,12.817327190314312,4.431692148536618,0.27310789049919487,0.606665220454393
2003.0,12.424582513270092,4.446362942088331,0.4138486312399356,0.6548797080204979
2004.0,12.641104550605311,4.516073486708886,0.537842190016103,0.809854643369366
2005.0,12.959599212739288,4.383819803232404,1.5207729468599034,0.9779973332294877
2006.0,13.342195980199206,4.348751275214104,0.29790660225442833,0.5412841477867081
2007.0,12.997181964573262,4.468114427574653,0.33075684380032205,0.6339088566985552
2008.0,12.17421721238143,4.762266936602787,0.6611916264090177,0.9133837323138954
2009.0,12.19316067275006,4.759791265861607,0.5040257648953301,0.7869341523664549
2010.0,12.645913103119247,4.2686116890698935,0.4241545893719807,0.7526560370548209
2011.0,12.930686765670648,4.759604357001026,0.7600644122383253,0.9732650416051021
2012.0,13.970274944832143,4.300829086770465,0.2811594202898551,0.6085589668522368
2013.0,12.167225800679923,4.641522254089534,0.37681159420289856,0.7217913432318771
2014.0,11.874270889246718,4.679909930087673,0.14524959742351046,0.3788430364288587
2015.0,13.190842130375112,4.459274777529299,0.2360708534621578,0.5312284150897614
2016.0,13.711559909345734,4.410114062414989,0.29887278582930754,0.5867540380293955
2017.0,13.49481570942923,4.651705919686585,0.47729468599033814,0.8624186192299496
2018.0,12.841448977157514,4.739057300649703,0.29533011272141707,0.6044781037478456
